Year,Male,Female,Total
1967,1208319,598334,1806653
1968,1257310,666919,1924229
1969,1519125,861936,2381061
1970,1884203,1092294,2976497
1971,2159684,1279027,3438711
1972,2197312,1329256,3526568
1973,2451498,1514702,3966200
1974,2530574,1596792,4127366
1975,2440092,1649502,4089594
1976,2325287,1623050,3948337
1977,2319787,1628491,3948278
1978,2319966,1661095,3981061
1979,2399442,1744394,4143836
1980,2619227,1834081,4453308
1981,2710196,1919533,4629729
1982,2708970,1957947,4666917
1983,2609531,1925332,4534863
1984,2499500,1864148,4363648
1985,2504858,1874084,4378942
1986,2576707,1935972,4512679
1987,2627728,2002490,4630218
1988,2466784,2022321,4489105
1989,2666469,2179413,4845882
1990,3011758,2330729,5342487
1991,3340889,2541378,5882267
1992,3719663,2776129,6495792
1993,3921481,2956636,6878117
1994,3945050,3045460,6990510
1995,4024385,3149481,7173866
1996,4078257,3235789,7314046
1997,4076962,3288871,7365833
1998,4026003,3293590,7319593
1998,4012003,3331588,7343591
2000,3959376,3337441,7296817
2001,3948518,3370110,7318628
2002,3926764,3408828,7335592
2003,3894781,3439984,7334765
2004,3498410,3218705,6717115
2005,3493799,3262011,6755810
2006,3475273,3275731,6751004
2007,3459799,3285080,6744879
2008,3441282,3286336,6727618
2009,3411832,3282944,6694776
2010,3442448,3311173,6753621
2011,3546660,3384236,6930896
2012,3711325,3502383,7213708
2013,3958619,3675009,7633628
2014,4264511,3888457,8152968
2015,4873294,4234599,9107893
2016,5429425,4609655,10039080
2017,5742180,4881760,10623940
2018,5872480,5042975,10915455
2019,6013925,5214370,11228300
2020,6102625,5329835,11432460
2021,6306795,5510995,11817790
2022,7005400,6378510,13383910
2023,7305525,6590340,13895865